path	tracked	current_routes	target_owners	split_required	policy
crates/nando-response-actor/src/admission_bundle.rs	yes	admission	admission	no	move-only
crates/nando-response-actor/src/authority.rs	yes	admission,canonical-hash	kernel,admission	yes	move-only
crates/nando-response-actor/src/backward_wave.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/bin/nando-binding-future-acquire.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-future-capture-owner.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-hypothesis-adjudicate.rs	yes	proof-tool	facade,proof	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-label-observe.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-label-trust-owner.rs	yes	proof-tool	facade,proof	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-support-acquire.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-binding-support-capture-owner.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-evidence-checkpoint.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-online-response-diagnose.rs	yes	learning-tool	facade,learning	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-response-admission.rs	yes	admission-tool	facade,admission	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-response-authority-inspect.rs	yes	admission-tool	facade,admission	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-response-miner.rs	yes	learning-tool,admission-output	facade,learning,admission	yes	thin-wrapper
crates/nando-response-actor/src/bin/nando-response-wave-proof.rs	yes	proof-tool	facade,proof	yes	thin-wrapper
crates/nando-response-actor/src/bin/response_miner/authority.rs	yes	learning,admission	learning,admission	yes	move-only
crates/nando-response-actor/src/binding_evidence.rs	yes	learning,proof	learning,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/binding_law_evidence_v2.rs	yes	proof-contract	kernel,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/canonical.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/causal_adjudicator.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/controlled_replay.rs	yes	proof-fixture	proof	no	proof-only
crates/nando-response-actor/src/binding_evidence_adjudication/external_trust.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/independent_trial_verifier_v2.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/label_manifest.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/mod.rs	yes	proof-facade	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/physical_actor_observation_v2.rs	yes	learning,proof	learning,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/physical_trial.rs	yes	proof-fixture	proof	no	proof-only
crates/nando-response-actor/src/binding_evidence_adjudication/physical_trial_v2.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/report.rs	yes	proof-report	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/trusted_resolver_v2.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_adjudication/wire.rs	yes	proof-contract	kernel,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_adjudication_tests.rs	yes	proof-test	proof	no	move-only
crates/nando-response-actor/src/binding_evidence_capture_owner.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/binding_evidence_capture_owner_tests.rs	yes	learning-test	learning	no	move-only
crates/nando-response-actor/src/binding_evidence_future_capture.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/binding_evidence_future_capture_tests.rs	yes	learning-test	learning	no	move-only
crates/nando-response-actor/src/binding_evidence_preregistration.rs	yes	learning,proof	learning,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_preregistration_tests.rs	yes	learning,proof-test	learning,proof	yes	move-only
crates/nando-response-actor/src/binding_evidence_tests.rs	yes	learning,proof-test	learning,proof	yes	move-only
crates/nando-response-actor/src/capture_provenance.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/causal.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/cegis.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/collection_synthesis.rs	yes	learning,proof-contract	learning,proof	yes	move-only
crates/nando-response-actor/src/contracts.rs	yes	immutable-contracts	kernel	no	move-only
crates/nando-response-actor/src/crystallized_operator.rs	yes	kernel,learning,runtime,proof	kernel,learning,runtime,proof	yes	move-only
crates/nando-response-actor/src/decidability.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/effect_graph.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/effect_law.rs	yes	legacy-learning	learning	no	move-only
crates/nando-response-actor/src/effect_law_dual_classifier_v3_tests.rs	yes	learning,proof-test	learning,proof	yes	move-only
crates/nando-response-actor/src/effect_law_tests.rs	yes	legacy-learning-test	learning	no	move-only
crates/nando-response-actor/src/effect_law_v3.rs	yes	kernel,learning	kernel,learning	yes	move-only
crates/nando-response-actor/src/effect_law_v3/canonical.rs	yes	kernel	kernel	no	move-only
crates/nando-response-actor/src/effect_law_v3/dual_classifier.rs	yes	learning,proof	learning,proof	yes	move-only
crates/nando-response-actor/src/effect_law_v3/evidence.rs	yes	learning,proof	learning,proof	yes	move-only
crates/nando-response-actor/src/effect_law_v3/trust.rs	yes	proof	proof	no	move-only
crates/nando-response-actor/src/effect_law_v3_tests.rs	yes	kernel,learning,proof-test	kernel,learning,proof	yes	move-only
crates/nando-response-actor/src/evidence.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/evidence_graph.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/executable_protocol_mode/compiler.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/executable_protocol_mode/mod.rs	yes	kernel,learning	kernel,learning	yes	move-only
crates/nando-response-actor/src/executable_protocol_mode/validation.rs	yes	kernel	kernel	no	move-only
crates/nando-response-actor/src/family_discovery.rs	yes	learning	learning	no	move-only
crates/nando-response-actor/src/grounding.rs	yes	runtime	runtime	no	move-only
crates/nando-response-actor/src/lib.rs	yes	facade,all-owners	facade	yes	thin-facade
crates/nando-response-actor/src/lifecycle.rs	yes	admission	admission	no	move-only
crates/nando-response-actor/src/nando-online-response-diagnose.rs	no	external-dirty	external-dirty	no	preserve-do-not-move
crates/nando-response-actor/src/online.rs	yes	learning	learning	no	move-only
